title	developer	publisher	release date	
Space Harrier 3D	Sega	Sega	<span data-sort-value="000000002013-11-28-0000" style="white-space:nowrap">November 28, 2013	
The Legend of Zelda: A Link Between Worlds	Nintendo EAD	Nintendo	<span data-sort-value="000000002013-11-22-0000" style="white-space:nowrap">November 22, 2013	
Mario Party: Island Tour	NDcube	Nintendo	<span data-sort-value="000000002013-11-22-0000" style="white-space:nowrap">November 22, 2013	
Hands On! Tangrams	Enjoy Gaming	Enjoy Gaming	<span data-sort-value="000000002013-11-21-0000" style="white-space:nowrap">November 21, 2013	
'Adventure Time: Explore the Dungeon Because I Don''t Know!'	WayForward Technologies	Bandai Namco, D3 Publisher	<span data-sort-value="000000002013-11-19-0000" style="white-space:nowrap">November 19, 2013	
'Girls'' Fashion Shoot'	Alchemist	Rising Star Games	<span data-sort-value="000000002013-11-19-0000" style="white-space:nowrap">November 19, 2013	
Young Justice: Legacy	Freedom Factory Studios	Little Orbit, Warner Bros. Interactive Entertainment	<span data-sort-value="000000002013-11-19-0000" style="white-space:nowrap">November 19, 2013	
Senran Kagura Burst	Marvelous AQL	Marvelous AQL	<span data-sort-value="000000002013-11-14-0000" style="white-space:nowrap">November 14, 2013	
World Conqueror 3D	Easytech, Lionant, Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002013-11-14-0000" style="white-space:nowrap">November 14, 2013	
Jett Rocket II: The Wrath of Taikai	'Shin''en Multimedia'	'Shin''en Multimedia'	<span data-sort-value="000000002013-11-13-0000" style="white-space:nowrap">November 13, 2013	
Barbie: Dreamhouse Party	Little Orbit	Bandai Namco	<span data-sort-value="000000002013-11-12-0000" style="white-space:nowrap">November 12, 2013	
'Disney Frozen: Olaf''s Quest'	1st Playable Productions	Avanquest SoftwarePAL, Bergsala LightweightJP, GameMill EntertainmentNA	<span data-sort-value="000000002013-11-12-0000" style="white-space:nowrap">November 12, 2013	
Lego Friends	TT Games, Hellbent Games	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002013-11-12-0000" style="white-space:nowrap">November 12, 2013	
4 Elements      Engine Software     Tulip Games     <span data-sort-value="000000002013-11-07-0000" style="white-space:nowrap">November 7, 2013
'Crazy Chicken: Director''s Cut'	Teyon	Teyon	<span data-sort-value="000000002013-11-07-0000" style="white-space:nowrap">November 7, 2013	
'Crazy Chicken: Director''s Cut 3D'	Teyon	Teyon	<span data-sort-value="000000002013-11-07-0000" style="white-space:nowrap">November 7, 2013	
My Baby Pet Hotel 3D	Independent Arts	Treva Entertainment	<span data-sort-value="000000002013-11-07-0000" style="white-space:nowrap">November 7, 2013	
Ben 10: Omniverse 2	1st Playable Productions	D3 Publisher, Bandai Namco	<span data-sort-value="000000002013-11-05-0000" style="white-space:nowrap">November 5, 2013	
Moshi Monsters: Katsuma Unleashed	Black Lantern Studios	Activision	<span data-sort-value="000000002013-11-05-0000" style="white-space:nowrap">November 5, 2013	
Pac-Man and the Ghostly Adventures	Bandai Namco Games, Monkey Bar Games	Bandai Namco Games	<span data-sort-value="000000002013-11-05-0000" style="white-space:nowrap">November 5, 2013	
Power Rangers Megaforce	Digital Works Entertainment	Bandai Namco Games	<span data-sort-value="000000002013-11-05-0000" style="white-space:nowrap">November 5, 2013	
Angry Bunnies	Cypronia	Cypronia	<span data-sort-value="000000002013-10-31-0000" style="white-space:nowrap">October 31, 2013	
Arcade Classics 3D	Enjoy Gaming	Enjoy Gaming	<span data-sort-value="000000002013-10-31-0000" style="white-space:nowrap">October 31, 2013	
Hometown Story	ToyBox	Natsume, Rising Star GamesEU	<span data-sort-value="000000002013-10-31-0000" style="white-space:nowrap">October 31, 2013	
Angry Birds Star Wars	Rovio Entertainment, Exient Entertainment	Activision	<span data-sort-value="000000002013-10-29-0000" style="white-space:nowrap">October 29, 2013	
Beyblade: Evolution	Rising Star Games	D3 Publisher	<span data-sort-value="000000002013-10-29-0000" style="white-space:nowrap">October 29, 2013	
Doodle Jump Adventures	Avanquest Software	GameMill Entertainment	<span data-sort-value="000000002013-10-29-0000" style="white-space:nowrap">October 29, 2013	
Monster High: 13 Wishes	Game Machine Studios	Little Orbit	<span data-sort-value="000000002013-10-29-0000" style="white-space:nowrap">October 29, 2013	
Regular Show: Mordecai and Rigby in 8-Bit Land	WayForward Technologies	D3 Publisher	<span data-sort-value="000000002013-10-29-0000" style="white-space:nowrap">October 29, 2013	
Sonic Lost World	Sonic Team, Dimps	SegaJP, NA, NintendoAU, EU	<span data-sort-value="000000002013-10-29-0000" style="white-space:nowrap">October 29, 2013	
Batman: Arkham Origins Blackgate	Armature Studio	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002013-10-25-0000" style="white-space:nowrap">October 25, 2013	
Phoenix Wright: Ace Attorney − Dual Destinies	Capcom	Capcom	<span data-sort-value="000000002013-10-24-0000" style="white-space:nowrap">October 24, 2013	
Lego Marvel Super Heroes: Universe in Peril	TT Games	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002013-10-22-0000" style="white-space:nowrap">October 22, 2013	
'SpongeBob SquarePants: Plankton''s Robotic Revenge'	Behaviour Interactive	Activision	<span data-sort-value="000000002013-10-22-0000" style="white-space:nowrap">October 22, 2013	
Teenage Mutant Ninja Turtles	Magic Pockets	Activision	<span data-sort-value="000000002013-10-22-0000" style="white-space:nowrap">October 22, 2013	
101 Penguin Pets 3D	Teyon	Selectsoft	<span data-sort-value="000000002013-10-17-0000" style="white-space:nowrap">October 17, 2013	
Brunch Panic	F K Digital	Circle Entertainment	<span data-sort-value="000000002013-10-17-0000" style="white-space:nowrap">October 17, 2013	
Jewel Master: Cradle of Egypt 2 3D	Cerasus Media	Rising Star Games	<span data-sort-value="000000002013-10-17-0000" style="white-space:nowrap">October 17, 2013	
Wipeout: Create & Crash	Behaviour Interactive	Activision	<span data-sort-value="000000002013-10-15-0000" style="white-space:nowrap">October 15, 2013	
Skylanders: Swap Force	n-Space	Activision	<span data-sort-value="000000002013-10-13-0000" style="white-space:nowrap">October 13, 2013	
Pokémon X	Game Freak	The Pokémon Company	<span data-sort-value="000000002013-10-12-0000" style="white-space:nowrap">October 12, 2013	
Pokémon Y	Game Freak	The Pokémon Company	<span data-sort-value="000000002013-10-12-0000" style="white-space:nowrap">October 12, 2013	
Aqua Moto Racing 3D	Zordix	Zordix	<span data-sort-value="000000002013-10-10-0000" style="white-space:nowrap">October 10, 2013	
Escape From Zombie City	Tom Create	Tom Create	<span data-sort-value="000000002013-10-10-0000" style="white-space:nowrap">October 10, 2013	
Family Bowling 3D	Arc System Works	Arc System Works	<span data-sort-value="000000002013-10-03-0000" style="white-space:nowrap">October 3, 2013	
Halloween: Trick or Treat 2	Virtual Playground	Microvalue	<span data-sort-value="000000002013-10-03-0000" style="white-space:nowrap">October 3, 2013	
Happy Circus	Moving Player	Moving Player	<span data-sort-value="000000002013-10-03-0000" style="white-space:nowrap">October 3, 2013	
Picross e3	Jupiter	Jupiter	<span data-sort-value="000000002013-10-03-0000" style="white-space:nowrap">October 3, 2013	
Etrian Odyssey Untold: The Millennium Girl	Atlus	Atlus, NIS AmericaPAL	<span data-sort-value="000000002013-10-01-0000" style="white-space:nowrap">October 1, 2013	
Rune Factory 4	Neverland	Marvelous AQL, Xseed GamesNA	<span data-sort-value="000000002013-10-01-0000" style="white-space:nowrap">October 1, 2013	
Travel Adventures with Hello Kitty	Compile Heart	Bergsala Lightweight	<span data-sort-value="000000002013-10-01-0000" style="white-space:nowrap">October 1, 2013	
Astro	7 Raven Studios	Enjoy Gaming	<span data-sort-value="000000002013-09-26-0000" style="white-space:nowrap">September 26, 2013	
Carps & Dragons	Abylight	Abylight	<span data-sort-value="000000002013-09-26-0000" style="white-space:nowrap">September 26, 2013	
Family Table Tennis 3D	Arc System Works	Aksys Games	<span data-sort-value="000000002013-09-26-0000" style="white-space:nowrap">September 26, 2013	
FIFA 14: Legacy Edition	EA Canada	Electronic Arts	<span data-sort-value="000000002013-09-24-0000" style="white-space:nowrap">September 24, 2013	
Hakuōki: Memories of the Shinsengumi	Idea Factory	Aksys Games	<span data-sort-value="000000002013-09-24-0000" style="white-space:nowrap">September 24, 2013	
Scribblenauts Unmasked: A DC Comics Adventure	5th Cell	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002013-09-24-0000" style="white-space:nowrap">September 24, 2013	
Cut the Rope	ZeptoLab	Chilingo	<span data-sort-value="000000002013-09-20-0000" style="white-space:nowrap">September 20, 2013	
AiRace Speed	QubicGames	QubicGames	<span data-sort-value="000000002013-09-19-0000" style="white-space:nowrap">September 19, 2013	
Cloudy with a Chance of Meatballs 2	1st Playable Productions	GameMill Entertainment	<span data-sort-value="000000002013-09-17-0000" style="white-space:nowrap">September 17, 2013	
'Hot Wheels: World''s Best Driver'	Firebrand Games	Warner Bros. Interactive Entertainment, Mattel Games	<span data-sort-value="000000002013-09-17-0000" style="white-space:nowrap">September 17, 2013	
Fish On 3D	Sims	ASCII Media WorksJP, Agetec	<span data-sort-value="000000002013-08-22-0000" style="white-space:nowrap">August 22, 2013	
Funfair Party Games	Avanquest Software	Joindots	<span data-sort-value="000000002013-08-22-0000" style="white-space:nowrap">August 22, 2013	
Wakedas	Circle Entertainment	Circle Entertainment	<span data-sort-value="000000002013-08-22-0000" style="white-space:nowrap">August 22, 2013	
Disney Infinity: Toy Box Challenge	Avalanche Software	Disney Interactive Studios, NamcoJP	<span data-sort-value="000000002013-08-18-0000" style="white-space:nowrap">August 18, 2013	
10-in-1: Arcade Collection	Gamelion Studios	Gamelion Studios	<span data-sort-value="000000002013-08-15-0000" style="white-space:nowrap">August 15, 2013	
Barbie: Groom and Glam Pups	Game Machine Studios	Little Orbit	<span data-sort-value="000000002013-08-15-0000" style="white-space:nowrap">August 15, 2013	
Heavy Fire: Black Arms 3D	Teyon	Teyon	<span data-sort-value="000000002013-08-15-0000" style="white-space:nowrap">August 15, 2013	
Phineas and Ferb: Quest for Cool Stuff	Behaviour Interactive	Majesco Entertainment	<span data-sort-value="000000002013-08-13-0000" style="white-space:nowrap">August 13, 2013	
Mario & Luigi: Dream Team	AlphaDream, Good-Feel	Nintendo	<span data-sort-value="000000002013-08-11-0000" style="white-space:nowrap">August 11, 2013	
Smash Bowling 3D	Big John Games	Big John Games	<span data-sort-value="000000002013-08-08-0000" style="white-space:nowrap">August 8, 2013	
SteamWorld Dig	Image & Form	Image & Form	<span data-sort-value="000000002013-08-08-0000" style="white-space:nowrap">August 8, 2013	
Disney Planes	Disney Interactive Studios	Disney Interactive Studios	<span data-sort-value="000000002013-08-06-0000" style="white-space:nowrap">August 6, 2013	
Bike Rider DX	Spicysoft	Spicysoft	<span data-sort-value="000000002013-08-01-0000" style="white-space:nowrap">August 1, 2013	
Family Kart 3D	Arc System Works	Arc System Works	<span data-sort-value="000000002013-08-01-0000" style="white-space:nowrap">August 1, 2013	
My Farm 3D	Bip Media	Bigben Interactive	<span data-sort-value="000000002013-08-01-0000" style="white-space:nowrap">August 1, 2013	
Chain Blaster	G-Style	Joindots	<span data-sort-value="000000002013-07-25-0000" style="white-space:nowrap">July 25, 2013	
Picross e2	Jupiter	Jupiter	<span data-sort-value="000000002013-07-25-0000" style="white-space:nowrap">July 25, 2013	
Attack of the Friday Monsters! A Tokyo Tale	Millennium Kitchen, Aquaria	Level-5	<span data-sort-value="000000002013-07-18-0000" style="white-space:nowrap">July 18, 2013	
Shin Megami Tensei IV	Atlus	Atlus	<span data-sort-value="000000002013-07-16-0000" style="white-space:nowrap">July 16, 2013	
Turbo: Super Stunt Squad	Torus Games	D3 Publisher	<span data-sort-value="000000002013-07-16-0000" style="white-space:nowrap">July 16, 2013	
Fishdom H2O: Hidden Odyssey	Playrix	Cypronia	<span data-sort-value="000000002013-07-04-0000" style="white-space:nowrap">July 4, 2013	
Runabout 3D: Drive Impossible	Rocket Company	Majesco Entertainment	<span data-sort-value="000000002013-07-02-0000" style="white-space:nowrap">July 2, 2013	
'Gabrielle''s Ghostly Groove Mini'	Asgard	Natsume	<span data-sort-value="000000002013-06-27-0000" style="white-space:nowrap">June 27, 2013	
Kokuga	G.rev	G.rev	<span data-sort-value="000000002013-06-27-0000" style="white-space:nowrap">June 27, 2013	
Urban Trial Freestyle	Tate Multimedia	Tate Multimedia, Flyhigh WorksJP	<span data-sort-value="000000002013-06-27-0000" style="white-space:nowrap">June 27, 2013	
'Lego Legends of Chima: Laval''s Journey'	'Traveller''s Tales'	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002013-06-25-0000" style="white-space:nowrap">June 25, 2013	
Project X Zone	Banpresto, Monolith Soft	Bandai Namco Games	<span data-sort-value="000000002013-06-25-0000" style="white-space:nowrap">June 25, 2013	
Farming Simulator 3D	Giants Software	Focus Home Interactive	<span data-sort-value="000000002013-06-23-0000" style="white-space:nowrap">June 23, 2013	
Bugs vs. Tanks	Comcept	Level-5	<span data-sort-value="000000002013-06-20-0000" style="white-space:nowrap">June 20, 2013	
Big Bass Arcade: No Limit	Big John Games	Big John Games	<span data-sort-value="000000002013-06-13-0000" style="white-space:nowrap">June 13, 2013	
Mighty Switch Force! 2	WayForward Technologies	WayForward Technologies	<span data-sort-value="000000002013-06-13-0000" style="white-space:nowrap">June 13, 2013	
Picross e	Jupiter	Jupiter	<span data-sort-value="000000002013-06-13-0000" style="white-space:nowrap">June 13, 2013	
Animal Crossing: New Leaf	Nintendo EAD	Nintendo	<span data-sort-value="000000002013-06-09-0000" style="white-space:nowrap">June 9, 2013	
The Denpa Men 2: Beyond the Waves	Genius Sonority	Genius Sonority	<span data-sort-value="000000002013-05-30-0000" style="white-space:nowrap">May 30, 2013	
Gummy Bears Mini Golf	Clockwork Games	Enjoy Gaming	<span data-sort-value="000000002013-05-30-0000" style="white-space:nowrap">May 30, 2013	
Donkey Kong Country Returns 3D	Monster Games	Nintendo	<span data-sort-value="000000002013-05-24-0000" style="white-space:nowrap">May 24, 2013	
Groove Heaven	Fun Unit	Fun UnitJP, Teyon	<span data-sort-value="000000002013-05-23-0000" style="white-space:nowrap">May 23, 2013	
Fast & Furious: Showdown	Firebrand Games	Activision	<span data-sort-value="000000002013-05-21-0000" style="white-space:nowrap">May 21, 2013	
Bowling Bonanza 3D	Enjoy Gaming	Enjoy Gaming	<span data-sort-value="000000002013-05-16-0000" style="white-space:nowrap">May 16, 2013	
Dress to Play: Magic Bubbles!	CoderChild	EnjoyUp Games, StarsignJP	<span data-sort-value="000000002013-05-16-0000" style="white-space:nowrap">May 16, 2013	
The Starship Damrey	Level-5	Level-5	<span data-sort-value="000000002013-05-16-0000" style="white-space:nowrap">May 16, 2013	
Mario and Donkey Kong: Minis on the Move	Nintendo Software Technology	Nintendo	<span data-sort-value="000000002013-05-09-0000" style="white-space:nowrap">May 9, 2013	
SpeedX 3D: Hyper Edition	Gamelion Studios	Gamelion Studios	<span data-sort-value="000000002013-05-09-0000" style="white-space:nowrap">May 9, 2013	
BearShark	Silverball Studios	CollegeHumor	<span data-sort-value="000000002013-05-02-0000" style="white-space:nowrap">May 2, 2013	
Gummy Bears Magical Medallion	Clockwork Games	Enjoy Gaming	<span data-sort-value="000000002013-05-02-0000" style="white-space:nowrap">May 2, 2013	
My Riding Stables 3D: Jumping for the Team	Treva Entertainment	Treva Entertainment	<span data-sort-value="000000002013-05-02-0000" style="white-space:nowrap">May 2, 2013	
Crazy Construction	G-Style	G-Style	<span data-sort-value="000000002013-04-25-0000" style="white-space:nowrap">April 25, 2013	
Puzzler World 2013	Ideas Pad	Maximum Games	<span data-sort-value="000000002013-04-23-0000" style="white-space:nowrap">April 23, 2013	
Lego City Undercover: The Chase Begins	TT Fusion	Nintendo	<span data-sort-value="000000002013-04-21-0000" style="white-space:nowrap">April 21, 2013	
Mystery Murders: Jack the Ripper	Virtual Playground	Microvalue, Circle EntertainmentJP	<span data-sort-value="000000002013-04-18-0000" style="white-space:nowrap">April 18, 2013	
Super Little Acorns 3D Turbo	Pixel Toys	Pixel Toys	<span data-sort-value="000000002013-04-18-0000" style="white-space:nowrap">April 18, 2013	
Witch & Hero	FK Digital	Circle Entertainment	<span data-sort-value="000000002013-04-18-0000" style="white-space:nowrap">April 18, 2013	
Shin Megami Tensei: Devil Summoner: Soul Hackers	Atlus	Atlus, NIS AmericaPAL	<span data-sort-value="000000002013-04-16-0000" style="white-space:nowrap">April 16, 2013	
'Dillon''s Rolling Western: The Last Ranger'	Vanpool	Nintendo	<span data-sort-value="000000002013-04-11-0000" style="white-space:nowrap">April 11, 2013	
Soccer Up! 3D	EnjoyUp Games	EnjoyUp Games, StarsignJP	<span data-sort-value="000000002013-04-11-0000" style="white-space:nowrap">April 11, 2013	
Super Black Bass 3D	Starfish SD	Rising Star Games	<span data-sort-value="000000002013-04-02-0000" style="white-space:nowrap">April 2, 2013	
HarmoKnight	Game Freak	Nintendo	<span data-sort-value="000000002013-03-28-0000" style="white-space:nowrap">March 28, 2013	
'Luigi''s Mansion: Dark Moon'	Next Level Games, Nintendo SPD	Nintendo	<span data-sort-value="000000002013-03-24-0000" style="white-space:nowrap">March 24, 2013	
Pokémon Mystery Dungeon: Gates to Infinity	Spike Chunsoft	The Pokémon Company	<span data-sort-value="000000002013-03-24-0000" style="white-space:nowrap">March 24, 2013	
'Lola''s Math Train'	BeiZ	BeiZ, D3PublisherJP	<span data-sort-value="000000002013-03-21-0000" style="white-space:nowrap">March 21, 2013	
The Croods: Prehistoric Party!	Torus Games	D3 Publisher	<span data-sort-value="000000002013-03-19-0000" style="white-space:nowrap">March 19, 2013	
Monster Hunter 3 Ultimate	Capcom	Capcom	<span data-sort-value="000000002013-03-19-0000" style="white-space:nowrap">March 19, 2013	
Monster High: Skultimate Roller Maze	Game Machine Studios	Little Orbit	<span data-sort-value="000000002013-03-13-0000" style="white-space:nowrap">March 13, 2013	
ATV Wild Ride 3D	Renegade Kid	Renegade Kid	<span data-sort-value="000000002013-03-07-0000" style="white-space:nowrap">March 7, 2013	
Kersploosh!	Poisoft	Nintendo, PoisoftJP	<span data-sort-value="000000002013-03-07-0000" style="white-space:nowrap">March 7, 2013	
Nano Assault EX	'Shin''en Multimedia'	'Shin''en Multimedia'	<span data-sort-value="000000002013-03-07-0000" style="white-space:nowrap">March 7, 2013	
Castlevania: Lords of Shadow – Mirror of Fate	MercurySteam	Konami	<span data-sort-value="000000002013-03-05-0000" style="white-space:nowrap">March 5, 2013	
Naruto Powerful Shippuden	Takara Tomy	Takara Tomy, 505 GamesPAL	<span data-sort-value="000000002013-03-05-0000" style="white-space:nowrap">March 5, 2013	
Coaster Creator 3D	Big John Games	Big John Games	<span data-sort-value="000000002013-02-28-0000" style="white-space:nowrap">February 28, 2013	
Mahjong Mysteries: Ancient Athena	Cerasus Media	Cerasus Media	<span data-sort-value="000000002013-02-28-0000" style="white-space:nowrap">February 28, 2013	
Etrian Odyssey IV: Legends of the Titan	Atlus	Atlus, NIS AmericaPAL	<span data-sort-value="000000002013-02-26-0000" style="white-space:nowrap">February 26, 2013	
'Picdun 2: Witch''s Curse'	Intense	Intense	<span data-sort-value="000000002013-02-21-0000" style="white-space:nowrap">February 21, 2013	
Viking Invasion 2: Tower Defense	Bip Media	Bigben Interactive	<span data-sort-value="000000002013-02-21-0000" style="white-space:nowrap">February 21, 2013	
Pro Evolution Soccer 2013	Konami	Konami	<span data-sort-value="000000002013-02-12-0000" style="white-space:nowrap">February 12, 2013	
Sonic & All-Stars Racing Transformed	Sumo Digital	Sega	<span data-sort-value="000000002013-02-12-0000" style="white-space:nowrap">February 12, 2013	
Brain Age: Concentration Training	Nintendo SPD	Nintendo	<span data-sort-value="000000002013-02-10-0000" style="white-space:nowrap">February 10, 2013	
Fire Emblem Awakening	Intelligent Systems, Nintendo SPD	Nintendo	<span data-sort-value="000000002013-02-04-0000" style="white-space:nowrap">February 4, 2013	
Bloody Vampire	Silver Star	Silver Star, Agetec	<span data-sort-value="000000002013-01-31-0000" style="white-space:nowrap">January 31, 2013	
Ikachan	Daisuke Amaya	Nicalis	<span data-sort-value="000000002013-01-31-0000" style="white-space:nowrap">January 31, 2013	
'Witch''s Cat'	Silver Star	Silver Star, Agetec	<span data-sort-value="000000002013-01-31-0000" style="white-space:nowrap">January 31, 2013	
Cocoto Alien Brick Breaker	Bigben Interactive	Bigben Interactive, TeyonJP	<span data-sort-value="000000002013-01-24-0000" style="white-space:nowrap">January 24, 2013	
Tokyo Crash Mobs	Mitchell Corporation	Nintendo	<span data-sort-value="000000002013-01-17-0000" style="white-space:nowrap">January 17, 2013	
101 Dino Pets 3D	Teyon	Selectsoft	<span data-sort-value="000000002013-01-10-0000" style="white-space:nowrap">January 10, 2013	
Wild Adventures: Ultimate Deer Hunt 3D	eV Interactive	eV Interactive	<span data-sort-value="000000002013-01-10-0000" style="white-space:nowrap">January 10, 2013	
Air Battle Hockey 3D	Silver Star	Silver Star, AgetecNA, EU	<span data-sort-value="000000002013-01-03-0000" style="white-space:nowrap">January 3, 2013	
Gunman Clive	Hörberg Productions	Hörberg Productions	<span data-sort-value="000000002013-01-03-0000" style="white-space:nowrap">January 3, 2013	
Unchained Blades	FuRyu	FuRyu, Xseed GamesNA	<span data-sort-value="000000002013-01-03-0000" style="white-space:nowrap">January 3, 2013	
Fluidity: Spin Cycle	Curve Studios	Nintendo	<span data-sort-value="000000002012-12-27-0000" style="white-space:nowrap">December 27, 2012	
Johnny Impossible	UFO Interactive Games	UFO Interactive Games	<span data-sort-value="000000002012-12-27-0000" style="white-space:nowrap">December 27, 2012	
Mahjong 3D: Warriors of the Emperor	Treva Entertainment	Treva Entertainment	<span data-sort-value="000000002012-12-27-0000" style="white-space:nowrap">December 27, 2012	
escapeVektor	Nnooo	Nnooo	<span data-sort-value="000000002012-12-20-0000" style="white-space:nowrap">December 20, 2012	
Pix 3D	Gamelion	Gamelion, TeyonJP	<span data-sort-value="000000002012-12-20-0000" style="white-space:nowrap">December 20, 2012	
Riding Stables 3D: Rivals in the Saddle	Treva Entertainment	Treva Entertainment	<span data-sort-value="000000002012-12-20-0000" style="white-space:nowrap">December 20, 2012	
Crimson Shroud	Level-5	Level-5	<span data-sort-value="000000002012-12-13-0000" style="white-space:nowrap">December 13, 2012	
Gardenscapes	Joindots	Joindots, Arc System WorksJP	<span data-sort-value="000000002012-12-13-0000" style="white-space:nowrap">December 13, 2012	
Murder on the Titanic	Easy Interactive	Joindots	<span data-sort-value="000000002012-12-06-0000" style="white-space:nowrap">December 6, 2012	
Classic Games Overload: Card & Puzzle Edition	Telegames	Telegames	<span data-sort-value="000000002012-11-30-0000" style="white-space:nowrap">November 30, 2012	
Aero Porter	Vivarium Inc.	Level-5	<span data-sort-value="000000002012-11-29-0000" style="white-space:nowrap">November 29, 2012	
American Mensa Academy	Silverball Studios	Maximum Games	<span data-sort-value="000000002012-11-27-0000" style="white-space:nowrap">November 27, 2012	
Junior Classic Games 3D	Maximum Games	Maximum Games	<span data-sort-value="000000002012-11-27-0000" style="white-space:nowrap">November 27, 2012	
Crashmo	Intelligent Systems	Nintendo	<span data-sort-value="000000002012-11-22-0000" style="white-space:nowrap">November 22, 2012	
'Adventure Time: Hey Ice King! Why''d You Steal Our Garbage?!!'	WayForward Technologies	Bandai Namco, D3 Publisher	<span data-sort-value="000000002012-11-20-0000" style="white-space:nowrap">November 20, 2012	
Rise of the Guardians: The Video Game	Torus Games	D3 Publisher	<span data-sort-value="000000002012-11-20-0000" style="white-space:nowrap">November 20, 2012	
Disney Epic Mickey: The Power of Illusion	DreamRift	Disney Interactive StudiosNA, NintendoPAL, Spike ChunsoftJP	<span data-sort-value="000000002012-11-18-0000" style="white-space:nowrap">November 18, 2012	
Monster Shooter	Gamelion	Gamelion	<span data-sort-value="000000002012-11-15-0000" style="white-space:nowrap">November 15, 2012	
Ben 10: Omniverse	1st Playable Productions	D3 Publisher, Bandai Namco	<span data-sort-value="000000002012-11-13-0000" style="white-space:nowrap">November 13, 2012	
Rabbids Rumble	Headstrong Games	Ubisoft	<span data-sort-value="000000002012-11-13-0000" style="white-space:nowrap">November 13, 2012	
Scribblenauts Unlimited	5th Cell	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002012-11-13-0000" style="white-space:nowrap">November 13, 2012	
Paper Mario: Sticker Star	Nintendo, Intelligent Systems, Vanpool	Nintendo	<span data-sort-value="000000002012-11-11-0000" style="white-space:nowrap">November 11, 2012	
Dress to Play: Cute Witches!	CoderChild	EnjoyUp Games, StarsignJP	<span data-sort-value="000000002012-11-08-0000" style="white-space:nowrap">November 8, 2012	
Johnny Hotshot	UFO Interactive Games	UFO Interactive Games	<span data-sort-value="000000002012-11-08-0000" style="white-space:nowrap">November 8, 2012	
Rayman Origins	Ubisoft Montpellier	Ubisoft	<span data-sort-value="000000002012-11-06-0000" style="white-space:nowrap">November 6, 2012	
Freakyforms Deluxe: Your Creations, Alive!	Asobism	Nintendo	<span data-sort-value="000000002012-11-05-0000" style="white-space:nowrap">November 5, 2012	
2 Fast 4 Gnomz	QubicGames	QubicGames	<span data-sort-value="000000002012-11-01-0000" style="white-space:nowrap">November 1, 2012	
Bratz: Fashion Boutique	Activision	Activision	<span data-sort-value="000000002012-10-30-0000" style="white-space:nowrap">October 30, 2012	
Hello Kitty Picnic with Sanrio & Friends	Chaotic Moon Studios	Majesco Entertainment	<span data-sort-value="000000002012-10-30-0000" style="white-space:nowrap">October 30, 2012	
Lego The Lord of the Rings	'Traveller''s Tales'	Warner Bros. Interactive Entertainment	<span data-sort-value="000000002012-10-30-0000" style="white-space:nowrap">October 30, 2012	
Moshi Monsters: Moshlings Theme Park	Black Lantern Studios	Activision	<span data-sort-value="000000002012-10-30-0000" style="white-space:nowrap">October 30, 2012	
Transformers: Prime – The Game	Now Production	Activision	<span data-sort-value="000000002012-10-30-0000" style="white-space:nowrap">October 30, 2012	
The Trash Pack	Webfoot Technologies	Activision	<span data-sort-value="000000002012-10-30-0000" style="white-space:nowrap">October 30, 2012	
Wreck-It Ralph	Disney Interactive Studios	Activision	<span data-sort-value="000000002012-10-30-0000" style="white-space:nowrap">October 30, 2012	
Professor Layton and the Miracle Mask	Level-5	Nintendo, Level-5JP	<span data-sort-value="000000002012-10-28-0000" style="white-space:nowrap">October 28, 2012	
Myst	Cyan Worlds, Hoplite Research	Funbox Media, Maximum Family GamesNA	<span data-sort-value="000000002012-10-26-0000" style="white-space:nowrap">October 26, 2012	
Liberation Maiden	Grasshopper Manufacture	Level-5	<span data-sort-value="000000002012-10-25-0000" style="white-space:nowrap">October 25, 2012	
NightSky	Nicalis	Nicalis	<span data-sort-value="000000002012-10-25-0000" style="white-space:nowrap">October 25, 2012	
Imagine: Fashion Life	Ubisoft Milan	Ubisoft	<span data-sort-value="000000002012-10-23-0000" style="white-space:nowrap">October 23, 2012	
'Zero Escape: Virtue''s Last Reward'	Chunsoft, Spike Chunsoft	Chunsoft, Aksys GamesNA, Rising Star GamesPAL	<span data-sort-value="000000002012-10-23-0000" style="white-space:nowrap">October 23, 2012	
Style Savvy: Trendsetters	Syn Sophia, Nintendo SPD	Nintendo	<span data-sort-value="000000002012-10-22-0000" style="white-space:nowrap">October 22, 2012	
Skylanders: Giants	n-Space	Activision	<span data-sort-value="000000002012-10-21-0000" style="white-space:nowrap">October 21, 2012	
RollerCoaster Tycoon 3D	n-Space	Atari	<span data-sort-value="000000002012-10-16-0000" style="white-space:nowrap">October 16, 2012	
Crazy Kangaroo	Gamelion	Gamelion Studios, TeyonJP	<span data-sort-value="000000002012-10-11-0000" style="white-space:nowrap">October 11, 2012	
Nurikabe by Nikoli	Nikoli	Hamster Corporation	<span data-sort-value="000000002012-10-11-0000" style="white-space:nowrap">October 11, 2012	
