title	developer	publisher	release date	
Kid Tripp	Four Horses	Four Horses, Rainy FrogJP	<span data-sort-value="000000002017-07-27-0000" style="white-space:nowrap">July 27, 2017	
Parascientific Escape: Crossing at the Farthest Horizon	Intense	Circle Entertainment	<span data-sort-value="000000002017-07-27-0000" style="white-space:nowrap">July 27, 2017	
Swipe	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-07-27-0000" style="white-space:nowrap">July 27, 2017	
Mononoke Forest	gamedo	gamedo	<span data-sort-value="000000002017-07-20-0000" style="white-space:nowrap">July 20, 2017	
Asdivine Cross	Kemco	Kemco	<span data-sort-value="000000002017-07-13-0000" style="white-space:nowrap">July 13, 2017	
Bit Dungeon Plus	Dolores Entertainment	Dolores Entertainment	<span data-sort-value="000000002017-07-13-0000" style="white-space:nowrap">July 13, 2017	
Cursed Castilla	Locomalito	Abylight, Flyhigh WorksJP	<span data-sort-value="000000002017-07-13-0000" style="white-space:nowrap">July 13, 2017	
Miitopia: Casting Call	Nintendo	Nintendo	<span data-sort-value="000000002017-07-13-0000" style="white-space:nowrap">July 13, 2017	
Crollors Game Pack	Nvriezen	Nvriezen	<span data-sort-value="000000002017-07-06-0000" style="white-space:nowrap">July 6, 2017	
'Kirby''s Blowout Blast'	HAL Laboratory	Nintendo	<span data-sort-value="000000002017-07-06-0000" style="white-space:nowrap">July 6, 2017	
Luxor	Engine Software	Tulip Games	<span data-sort-value="000000002017-07-06-0000" style="white-space:nowrap">July 6, 2017	
'Stack ''em High'	Sims	Starsign	<span data-sort-value="000000002017-07-06-0000" style="white-space:nowrap">July 6, 2017	
Table Tennis Infinity	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-07-06-0000" style="white-space:nowrap">July 6, 2017	
6180 the moon	Rainy Frog	Rainy FrogWW, Turtle CreamEU	<span data-sort-value="000000002017-06-29-0000" style="white-space:nowrap">June 29, 2017	
Mighty Gunvolt Burst	Inti Creates	Inti Creates	<span data-sort-value="000000002017-06-29-0000" style="white-space:nowrap">June 29, 2017	
RPG Maker Fes	Kadokawa Games	Kadokawa Games, NIS AmericaNA, PAL	<span data-sort-value="000000002017-06-27-0000" style="white-space:nowrap">June 27, 2017	
